source_id,display_name,oa_publisher,oa_country,doaj_title,doaj_publisher,doaj_country,walden_issns,doaj_match_issn,name_linked,n_tokens,flag_reason
S4306526491,Revista da Defensoria Pública do Estado do Rio Grande do Sul,,,Revista da Defensoria Pública do Estado do Rio Grande do Sul,Defensoria Pública do Estado do Rio Grande do Sul,Brazil,,2177-8116,True,11,
S4306526527,Revista da Sociedade Portuguesa de Anestesiologia,,,Revista da Sociedade Portuguesa de Anestesiologia,Portuguese Society of Anesthesiology,Portugal,,0871-6099,True,6,
S4306526599,Revista de Ciencias Médicas de Pinar del Río,,,Revista de Ciencias Médicas de Pinar del Río,ECIMED,Cuba,,1561-3194,True,8,
S4306526614,Revista de Culturas y Literaturas Comparadas,,,Revista de Culturas y Literaturas Comparadas,Universidad Nacional de Córdoba,Argentina,,1852-4737,True,6,
S4306526619,Revista de Derecho Civil,,ES,Revista de Derecho Civil,"Notyreg Hispania, SL",Spain,,2341-2216,True,4,
S4306526867,Revista de la Carrera de Sociología,,,Revista de la Carrera de Sociología,Carrera de Sociología de la Facultad de Ciencias Sociales de la Universidad de Buenos Aires,Argentina,,1853-6484,True,6,
S4306527193,Revista Electrónica de Didáctica en Educación Superior,,,Revista Electrónica de Didáctica en Educación Superior,Universidad de Buenos Aires,Argentina,,1853-3159,True,7,
S4306527226,Revista Eletrônica de Direito Penal e Política Criminal,,,Revista Eletrônica de Direito Penal e Política Criminal,Universidade Federal do Rio Grande do Sul,Brazil,,2358-1956,True,8,
S4306527268,Revista Espaço Acadêmico,,BR,Revista Espaço Acadêmico,Universidade Estadual de Maringá,Brazil,,1519-6186,True,3,
S4306527442,Revista Habanera de Ciencias Médicas,,,Revista Habanera de Ciencias Médicas,Universidad de Ciencias Médicas de La Habana,Cuba,,1729-519X,True,5,
S4306527566,Revista Internacional de Formação de Professores,,,Revista Internacional de Formação de Professores,Instituto Federal de São Paulo,Brazil,,2447-8288,True,6,
S4306527636,Revista Latinoamericana de Antropología del Trabajo,,,Revista Latinoamericana de Antropología del Trabajo,Centro de Estudios e Investigaciones Laborales (CEIL-CONICET) ; Centro de Investigación y Estudios Superiores en Antropología Social (CIESAS-CONACYT),Argentina,,2591-2755,True,6,
S4306527644,Revista Latinoamericana de Estudios Rurales,,,Revista Latinoamericana de Estudios Rurales,Asociación Latinoamericana de Sociología Rural ; CEIL-CONICET,Argentina,,2525-1635,True,5,
S4306527692,Revista Médica Electrónica,,,Revista Médica Electrónica,Universidad de Ciencias Médicas de Matanzas,Cuba,,1684-1824,True,3,
S4306527862,Revista Portuguesa de Investigação Educacional,,,Revista Portuguesa de Investigação Educacional,Universidade Católica Portuguesa,Portugal,,2182-4614,True,5,
S4306528000,Revista Transilvană de Ştiinţe Administrative,,,Revista Transilvană de Ştiinţe Administrative,Babes-Bolyai University,Romania,,1454-1378,True,5,
S4306528065,Revista Venezolana de Salud Pública,,VE,Revista Venezolana de Salud Pública,Universidad Centroccidental Lisandro Alvarado,"Venezuela, Bolivarian Republic of",,2343-5526,True,5,
S4306528110,REVUE AFRICAINE DE MANAGEMENT,,,Revue Africaine de Management,Université Ibn Zohr Agadir-MAROC,Morocco,,2335-9811,True,4,
S4306528118,Revue algérienne des lettres,,,Revue Algérienne des Lettres,University of Ain Temouchent,Algeria,,2661-7447,True,4,
S4306528243,Revue des Etudes Multidisciplinaires en Sciences Economiques et Sociales,,,Revue des Etudes Multidisciplinaires en Sciences Economiques et Sociales,Noufissa EL MOUJADDIDI,Morocco,,2489-2068,True,9,
S4306528324,"Revue Economie, Gestion et Société",,,"Revue Economie, Gestion et Société",Fatiha REGRAGUI,Morocco,,2458-6250,True,5,
S4306528440,Revue Marocaine de Recherche en Management et Marketing,,MA,Revue Marocaine de Recherche en Management et Marketing,Université Mohammed V de Rabat,Morocco,,2028-5175,True,8,
S4306528447,Revue Nature et Technologie,,,Revue Nature et Technologie,"University ""Hassiba Benbouali""  de Chlef",Algeria,,1112-9778,True,4,
S4306528678,Rivista Italiana di Filosofia del Linguaggio,,,Rivista Italiana di Filosofia del Linguaggio,Università della Calabria,Italy,,2036-6728,True,6,
S4306529151,Savoirs en prisme,,,Savoirs en Prisme,Editions et presses universitaires de Reims,France,,2260-7838,True,3,
S4306529188,School Leadership Review,,,School Leadership Review,"Ralph W. Steen Library, Stephen F. Austin State University",United States,,1559-4998,True,3,
S4306529334,"Scientific Papers - Series B, Horticulture",,,Scientific Papers: Series B. Horticulture,University of Agronomic Sciences and Veterinary Medicine of Bucharest,Romania,,2285-5653,True,6,
S4306529681,Serie Científica de la Universidad de las Ciencias Informáticas,,,Serie Científica de la Universidad de las Ciencias Informáticas,Universidad de las Ciencias Informáticas (UCI),Cuba,,2306-2495,True,9,
S4306529754,Shanghai Jiaotong Daxue Xuebao,,,Shanghai Jiaotong Daxue xuebao,Editorial Office of Journal of Shanghai Jiao Tong University,China,,1006-2467,True,4,
S4306529855,Shipin Kexue,,,Shipin Kexue,China Food Publishing Company,China,,1002-6630,True,2,
S4306529860,Shipin yu Jixie,,,Shipin yu jixie,The Editorial Office of Food and Machinery,China,,1003-5788,True,3,
S4306529880,Shiyou Shiyan Dizhi,,,Shiyou shiyan dizhi,Editorial Office of Petroleum Geology and Experiment,China,,1001-6112,True,3,
S4306529908,Shuitu Baochi Tongbao,,,Shuitu baochi tongbao,Science Press,China,,1000-288X,True,3,
S4306529909,Shuitu Baochi Xuebao,,,Shuitu Baochi Xuebao,Editorial Department of Journal of Soil and Water Conservation,China,,1009-2242,True,3,
S4306530268,Social Determinants of Health,,,Social Determinants of Health,Shahid Beheshti University of Medical Sciences,"Iran, Islamic Republic of",,2423-7337,True,4,
S4306530767,Społeczeństwo. Edukacja. Język,,,"Społeczeństwo, Edukacja, Język",Academic Publishing of the Masovian University in Płock,Poland,,2353-1266,True,3,
S4306530781,Sports Business Journal,,US,Sports Business Journal,Alzahra University,"Iran, Islamic Republic of",,2783-4174,True,3,country_conflict
S4306531028,Studia Ełckie,,,Studia Ełckie,Wydawnictwo Diecezjalne Adalbertinum,Poland,,2353-1274,True,2,
S4306531068,Studia Lednickie,,,Studia Lednickie,Muzeum Pierwszych Piastów na Lednicy,Poland,,0860-7893,True,2,
S4306531498,Szkoła - Zawód - Praca,,,Szkoła - Zawód - Praca,Uniwersytet Kazimierza Wielkiego,Poland,,2082-6087,True,5,
S4306531540,Taiyuan Ligong Daxue Xuebao,,,Taiyuan Ligong Daxue xuebao,Editorial Office of Journal of Taiyuan University of Technology,China,,1007-9432,True,4,
S4306531631,Teaching English Language,,,Teaching English Language,Teaching English Language and Literature Society of Iran (TELLSI),"Iran, Islamic Republic of",,2538-5488,True,3,
S4306531640,TECA,,,TECA,University of Bologna,Italy,,2282-1007,True,1,
S4306531945,Thalassia Salentina,,IT,Thalassia Salentina,Università del Salento,Italy,,0563-3745,True,2,
S4306532847,Ticontre. Teoria Testo Traduzione,,,Ticontre: Teoria Testo Traduzione,Università degli Studi di Trento,Italy,,2284-4473,True,4,
S4306532860,Tidsskrift for Praktisk Teologi,,,Tidsskrift for Praktisk Teologi,"MF Norwegian School of Theology, Religion and Society",Norway,,1893-4773,True,4,
S4306532881,Tiempos modernos: Revista Electrónica de Historia Moderna,,,Tiempos Modernos: Revista Electrónica de Historia Moderna,Asociación Mundos Modernos,Spain,,1699-7778,True,7,
S4306533040,Tongxin Xuebao,,,Tongxin xuebao,Editorial Department of Journal on Communications,China,,1000-436X,True,2,
S4306533208,Translatio,,,Translatio,Universidade Federal do Rio Grande do Sul,Brazil,,2236-4013,True,1,
S4306533215,Transmotion,,,Transmotion,University of Kent,United Kingdom,,2059-0911,True,1,
S4306533270,Travaux de didactique du français langue étrangère,,,Travaux de Didactique du Français Langue Étrangère,EA 739 Dipralang Université Paul-Valéry,France,,2553-5994,True,7,
S4306533800,Universidad Médica Pinareña,,,Universidad Médica Pinareña,Universidad de Ciencias Médicas de Pinar del Río,Cuba,,1990-7990,True,3,
S4306533858,Universidad y Sociedad,,,Universidad y Sociedad,Universidad de Cienfuegos,Cuba,,2415-2897,True,3,
S4306534268,Vie et Milieu / Life & Environment,,,Vie et Milieu,Sorbonne Université,France,0240-8759,2402-6689,False,7,
S4306534778,Wiedza Obronna,,,Wiedza Obronna,Towarzystwo Wiedzy Obronnej,Poland,,0209-0031,True,2,
S4306535391,Yhteiskuntapolitiikka,,,Yhteiskuntapolitiikka,Terveyden ja hyvinvoinnin laitos; Eläketurvakeskus; Helsingin yliopiston valtiotieteellinen tiedekunta; Kelan tutkimus; Tampereen yliopiston yhteiskuntatieteiden tiedekunta,Finland,,1455-6901,True,1,
S4306535413,Yixue yu Zhexue,,,Yixue yu zhexue,Editorial Office of Medicine and Philosophy,China,,1002-0772,True,3,
S4306535440,Yuanzineng Kexue Jishu,,,Yuanzineng kexue jishu,Editorial Board of Atomic Energy Science and Technology,China,,1000-6931,True,3,
S4306535889,Zhendong Ceshi Yu Zhenduan,,,Zhendong Ceshi yu Zhenduan,"Editorial Department of Journal of Vibration, Measurement & Diagnosis",China,,1004-6801,True,4,
S4306535897,Zhileng Xuebao,,,Zhileng xuebao,"Journal of Refrigeration Magazines Agency Co., Ltd.",China,,0253-4339,True,2,
S4306535938,Zhongguo Gonggong Weisheng,,,Zhongguo gonggong weisheng,Editorial Office of Chinese Journal of Public Health,China,,1001-0580,True,3,
S4306535967,Zhongguo Kuangye,,,Zhongguo Kuangye,"China Mining Magazine Co., Ltd",China,,1004-4051,True,2,
S4306536320,آب و توسعه پایدار,,,آب و توسعه پایدار,Ferdowsi University of Mashhad,"Iran, Islamic Republic of",,2423-5474,True,4,
S4306536323,اخلاق وحیانی,,,اخلاق وحیانی,Maarej Research Institute of Revelation Sciences,"Iran, Islamic Republic of",,2383-3025,True,2,
S4306536329,ادبیات عرفانی,,,ادبیات عرفانی,Alzahra University,"Iran, Islamic Republic of",,2538-1997,True,2,
