funder_id,funder,works
F4320309818,Rufford Foundation,1
F4320320373,National Stroke Foundation,1
F4320320923,Branco Weiss Fellowship – Society in Science,1
F4320321806,Lunds Universitet,1
F4320332754,Centre for Asia-Pacific Initiatives,1
F4320334841,Fonds de recherche du Québec – Nature et technologies,1
F4320335343,SFU Community Trust Endowment Fund,1
F4320336696,Laboratory for Marine Ecology and Environmental Science,1
F4320338141,"Central Public-interest Scientific Institution Basal Research Fund, Chinese Academy of Fishery Sciences",1
F4320306845,Summerlee Foundation,1
F4320313831,Comunidad de Madrid,1
F4320320876,Helmholtz-Gemeinschaft,1
F4320329501,Serono Symposia International Foundation,1
F4320333065,Seventh Framework Programme,1
F4320307844,European Molecular Biology Organization,1
F4320314578,Society for Conservation Biology,1
F4320315159,Transport Canada,1
F4320337408,Division of Undergraduate Education,1
F4320337504,Research and Development,1
F4320306230,American Heart Association,1
F4320319249,Belmont Forum,1
F4320320257,Society for the Promotion of Roman Studies,1
F4320321848,Cambridge Trust,1
F4320322308,KU Leuven,1
F4320327575,State of Maine Department of Marine Resources,1
F4320331622,"Department of Forestry, Fisheries and the Environment",1
F4320314539,Co-operative Education and Work-Integrated Learning Canada,1
F4320306116,U.S. Department of the Interior,1
F4320310835,Eppley Foundation for Research,1
F4320313299,Baker Foundation,1
F4320321770,"Siberian Branch, Russian Academy of Sciences",1
F4320337372,U.S. National Library of Medicine,1
F4320306164,Simons Foundation,1
F4320308321,"United Nations Educational, Scientific and Cultural Organization",1
F4320308774,John Simon Guggenheim Memorial Foundation,1
F4320309928,Aarhus Universitet,1
F4320310598,Amazon Web Services,1
F4320311031,Northern Gulf Institute,1
F4320311670,Lawrence Foundation,1
F4320319907,Alberta Innovates - Technology Futures,1
F4320319995,"Department for Environment, Food and Rural Affairs, UK Government",1
F4320320774,Royal Society Te Apārangi,1
F4320321040,National Science Council,1
F4320323078,Universitetet i Bergen,1
F4320323113,Banco Bilbao Vizcaya Argentaria,1
F4320323185,Ministry of Innovation and Advanced Education,1
F4320323444,Autoritatea Natională pentru Cercetare Stiintifică,1
F4320326754,Junta de Andalucía,1
F4320330235,NERC Biomolecular Analysis Facility,1
F4320331667,National Oceanography Centre,1
F4320334629,Biotechnology and Biological Sciences Research Council,1
F4320335840,Antarctic Climate and Ecosystems Cooperative Research Centre,1
F4320337285,"Bjerknessenteret for klimaforskning, Universitetet i Bergen",1
F4320337348,National Human Genome Research Institute,1
F4320306183,James S. McDonnell Foundation,1
F4320310282,Ministry of Natural Resources,1
F4320311904,Wellcome Trust,1
F4320315473,Institute of Science and Technology Austria,1
F4320324050,Ostravská Univerzita v Ostravě,1
F4320329182,Consortium of International Agricultural Research Centers,1
F4320334620,Natural Resources Canada,1
F4320306203,M.J. Murdock Charitable Trust,1
F4320308319,Link Foundation,1
F4320310906,National Research Council Sri Lanka,1
F4320311342,Joint Institute for the Study of the Atmosphere and Ocean,1
F4320313410,Calgary Foundation,1
F4320314718,Garfield Weston Foundation,1
F4320319868,Canadian Aeronautics and Space Institute,1
F4320320686,Claude Leon Foundation,1
F4320323654,Hospital for Sick Children,1
F4320323990,Bundesministerium für Bildung und Frauen,1
F4320325677,Science for Life Laboratory,1
F4320329049,Institut chilien de l'Antarctique,1
F4320331117,South African Institute for Aquatic Biodiversity,1
F4320332796,Marine Station at Fort Pierce,1
F4320336376,Uppsala Multidisciplinary Center for Advanced Computational Science,1
F4320337436,Division of Grants and Agreements,1
F4320338429,Integrated Ocean Observing System,1
F4320311022,Università Degli Studi di Modena e Reggio Emila,1
F4320311350,Life Sciences Research Foundation,1
F4320315694,Bloomberg Philanthropies,1
F4320319201,Coral Reef Research Foundation,1
F4320322436,Novo Nordisk,1
F4320325957,Novo Nordisk Fonden,1
F4320334146,Friday Harbor Laboratories,1
F4320320719,"Department of Science and Technology, Ministry of Science and Technology, India",1
F4320321026,Ministry of Earth Sciences,1
F4320338075,Core Research for Evolutional Science and Technology,1
F7782386586,Arthur N. Rupe Foundation,1
F4320314024,Ontario Genomics,1
F4320319905,Ontario Genomics Institute,1
F4320334621,Networks of Centres of Excellence of Canada,1
F4320309409,Lilly Endowment,1
F4320306082,Howard Hughes Medical Institute,1
F4320306364,George Gund Foundation,1
F4320307514,American Association of Anatomists,1
F4320309872,"Grantová Agentura, Univerzita Karlova",1
F4320310362,Arkansas Biosciences Institute,1
F4320312926,Crohn's and Colitis Foundation,1
F4320319550,Gordon and Llura Gund Foundation,1
F4320319876,Crohn's and Colitis Foundation of Canada,1
F4320321885,Science and Technology Commission of Shanghai Municipality,1
F4320334856,Bundesamt für Umwelt,1
F4320337375,National Center for Research Resources,1
F4320337975,NOAA Ocean Exploration,1
F4320314473,Critical Ecosystem Partnership Fund,1
F4320322035,Rural Development Administration,1
F4320322614,Thailand Research Fund,1
F4320325645,European Association of Zoos and Aquaria,1
F4320334627,Engineering and Physical Sciences Research Council,1
F4320337338,"National Heart, Lung, and Blood Institute",1
F4320338243,JST-Mirai Program,1
F4320338286,Lawrence Livermore National Laboratory,1
F4320306080,Foundation for the National Institutes of Health,1
F4320309787,National Fish and Wildlife Foundation,1
F4320311311,Montana Agricultural Experiment Station,1
F4320313535,Cook Inlet Regional Citizens Advisory Council,1
F4320315051,Environmental Restoration and Conservation Agency,1
F4320331934,NASA Astrobiology Institute,1
F4320338463,CHIST-ERA,1
F4320306320,Earthwatch Institute,1
F4320308324,McKnight Foundation,1
