raw_author_name	normalized_last	normalized_first	first_initial	normalized_middle	middle_initials	population_freq	log10_freq	est_humans
Katarzyna Jastal	jastal	katarzyna	k			0.000000000041703	-10.38	0.3378
Î£ÏÎ¿ÏÎ½Î¬ÏÎ· ÎÎ½Î´ÏÎ¿Î¼Î¬ÏÎ· (Î¼ÏÏÏ.),	ii iiii iii	ipsiiii iii	i			0.000000000001000	-12.00	0.0081
Yong-Tong Zheng	zheng	yong-tong	y			0.000000001621164	-8.79	13.1314
Andreas Schreg	schreg	andreas	a			0.000000000276871	-9.56	2.2427
Santos, Davi A.	santos	davi	d		a	0.000000004728816	-8.33	38.3034
Phoomtai Yindee	yindee	phoomtai	p			0.000000000001079	-11.97	0.0087
Barfoot, L	barfoot		l			0.000000049094945	-7.31	397.6691
Suwar si	si	suwar	s			0.000000000030622	-10.51	0.2480
Politicalscience. Osu. Edu/grads/oates	edugradsoates	politicalscience	p	osu	o	0.000000000000000	-18.00	0.0000
AYDIN BUYRUK, Betül	aydin	buyruk	b	betul	b	0.000000000000003	-14.54	0.0000
Gagnon, T.V.	gagnon	tv	t			0.000000000010498	-10.98	0.0850
Li, Yong-hong	li	yong-hong	y			0.000000013475484	-7.87	109.1514
Karina F. Christensen	christensen	karina	k		f	0.000000000211029	-9.68	1.7093
Williams, Margaret H	williams	margaret	m		h	0.000000002104945	-8.68	17.0501
Ida Darma Yuliyanti	yuliyanti	ida	i	darma	d	0.000000000000000	-15.49	0.0000
Aleksander Afanasyev	afanasyev	aleksander	a			0.000000000023137	-10.64	0.1874
\n    International Tuberculosis Conference\n    (9th :\n    1910 :\n    Brussels.)\n	n		n	international tuberculosis conferencen	i	0.000000000000027	-13.57	0.0002
Statton, Debbie Marie	statton	debbie	d	marie	m	0.000000000000023	-13.64	0.0002
Daniel William Kraemer	kraemer	daniel	d	william	w	0.000000000005864	-11.23	0.0475
Alice Tata (16297583)	tata	alice	a			0.000000007113354	-8.15	57.6182
L. De Roeck (6017699)	de roeck		l			0.000000049094945	-7.31	397.6691
Giraldi, Catia	giraldi	catia	c			0.000000000022971	-10.64	0.1861
Dini Atika Wati	wati	dini	d	atika	a	0.000000000000016	-13.81	0.0001
Chávez Vergara, Lenin Orlando	chavez vergara	lenin	l	orlando	o	0.000000000000002	-14.62	0.0000
Constantin S. Petrisor	petrisor	constantin	c		s	0.000000000001448	-11.84	0.0117
D Kiselicki	kiselicki		d			0.000000049281217	-7.31	399.1779
Proseanic, Vladimir N.	proseanic	vladimir	v		n	0.000000000013338	-10.87	0.1080
Jon Oscherwitz	oscherwitz	jon	j			0.000000000268547	-9.57	2.1752
Pichugin Ng	ng	pichugin	p			0.000000000385540	-9.41	3.1229
Rachida Nouaïm	nouaim	rachida	r			0.000000000004701	-11.33	0.0381
Sónia Soares; Mélina Bornet; Clara Grosso; Maria João Ramalhosa; Irene Gouvinhas; Juliana Garcia; Francisca Rodrigues; Cristina Delerue-Matos	delerue-matos	sonia	s	soares melina bornet clara grosso maria joao ramalhosa irene gouvinhas juliana garcia francisca rodrigues cristina	s	0.000000000000000	-15.60	0.0000
Gajo, Camilla	gajo	camilla	c			0.000000000209895	-9.68	1.7002
Amanda Diah Prameswari Heriawan	heriawan	amanda	a	diah prameswari	d	0.000000000000000	-15.31	0.0000
Leopoldina D. F. Almeida	almeida	leopoldina	l		df	0.000000000000353	-12.45	0.0029
Zach Marston	marston	zach	z			0.000000000415830	-9.38	3.3682
Tae  Hyun Choi	choi	tae	t	hyun	h	0.000000000000286	-12.54	0.0023
Heng Joe Eu	eu	heng	h	joe	j	0.000000000000354	-12.45	0.0029
Kasuyuki Kanosue	kanosue	kasuyuki	k			0.000000000001000	-12.00	0.0081
Jacques, Tom	jacques	tom	t			0.000000013449710	-7.87	108.9426
쑹웨이화		ssungweihwa	s			0.000000000001000	-12.00	0.0081
Wei‐Tse Hsu	hsu	wei-tse	w			0.000000000080038	-10.10	0.6483
San-Ding Huang	huang	san-ding	s			0.000000004296769	-8.37	34.8038
Koritskiy, Alexey	koritskiy	alexey	a			0.000000000075546	-10.12	0.6119
Crottès, David	crottes	david	d			0.000000002565024	-8.59	20.7767
Carolina Meoniz	meoniz	carolina	c			0.000000000305100	-9.52	2.4713
Escarré Esteve, Antoni	escarre esteve	antoni	a			0.000000000020231	-10.69	0.1639
Leguizamón Pereira, Ignacio	leguizamon pereira	ignacio	i			0.000000000087078	-10.06	0.7053
küçükoğlu, tuğçe; Health and Science University Adana City Training and Research Hospital,ENT Clinic	kucukoglu	tugce	t	health and science university adana city training and research hospital	h	0.000000000000000	-16.58	0.0000
Patricia Vega Gutierrez	gutierrez	patricia	p	vega	v	0.000000000001280	-11.89	0.0104
Stühmer, Jan	stuhmer	jan	j			0.000000000357507	-9.45	2.8958
Yoshitake Suganuma	suganuma	yoshitake	y			0.000000000001198	-11.92	0.0097
Mehdi Zahiri Savzevar	savzevar	mehdi	m	zahiri	z	0.000000000000000	-15.49	0.0000
F Delamater	delamater		f			0.000000025749167	-7.59	208.5683
Schmarje, Lars	schmarje	lars	l			0.000000000071657	-10.14	0.5804
Lincoln Lopes Teixeira	teixeira	lincoln	l	lopes	l	0.000000000000019	-13.72	0.0002
Lauzán, José Esteban	lauzan	jose	j	esteban	e	0.000000000000109	-12.96	0.0009
Hulander, Louise	hulander	louise	l			0.000000000151318	-9.82	1.2257
de Noordholland, J.	de noordholland		j			0.000000093889272	-7.03	760.5031
